## [iView]
Converted from: NA
Date: NA
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	60
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	13747                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
Subject: NA
## Description:	description info                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	800	600
## Calibration Point 0:	Position(400;300)
## Calibration Point 1:	Position(200;30)
## Calibration Point 2:	Position(760;150)
## Calibration Point 3:	Position(600;570)
## Calibration Point 4:	Position(40;450)
## [Geometry]
## Stimulus Dimension [mm]:	321	240
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1023401-1517//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
4460562459	SMP	1	1405.64	488.75	1171.94	464.97	23.70	23.70	5.21	24.74	24.74	5.51	1402.73	491.20	1409.04	491.11	1172.31	467.48	1178.32	467.51	605.36	448.37	607.13	481.47	0	1	1	2	-1	-1	-14.46	62.21	731.02	39.74	69.01	745.18	0.03	0.03	-1.00	0.11	0.03	-0.99	0		
4460579104	SMP	1	1405.96	488.53	1172.01	465.14	23.68	23.68	5.21	24.73	24.73	5.52	1402.69	491.17	1409.04	491.08	1172.29	467.49	1178.30	467.55	601.10	444.89	606.47	488.44	0	1	1	2	-1	-1	-14.44	62.17	730.45	39.76	69.02	745.39	0.01	0.04	-1.00	0.11	0.02	-0.99	0		
4460595781	SMP	1	1405.90	488.81	1172.18	465.11	23.58	23.58	5.20	24.54	24.54	5.52	1402.71	491.20	1409.05	491.11	1172.23	467.56	1178.32	467.62	600.33	449.67	602.57	485.27	0	1	1	2	-1	-1	-14.44	62.12	729.97	39.73	68.95	744.81	0.02	0.03	-1.00	0.10	0.03	-0.99	0		
4460612427	SMP	1	1405.93	488.66	1172.17	465.01	23.61	23.61	5.20	24.70	24.70	5.52	1402.79	491.22	1409.10	491.16	1172.27	467.59	1178.31	467.69	600.24	447.02	602.08	476.14	0	1	1	2	-1	-1	-14.45	62.10	729.77	39.74	68.96	745.08	0.02	0.03	-1.00	0.10	0.03	-0.99	0		
4460629102	SMP	1	1406.11	488.61	1172.34	464.93	23.37	23.37	5.19	24.66	24.66	5.53	1403.04	491.07	1409.22	491.10	1172.39	467.48	1178.45	467.53	600.08	446.72	600.15	476.66	0	1	1	2	-1	-1	-14.51	62.18	730.44	39.70	68.98	744.92	0.02	0.03	-1.00	0.10	0.03	-0.99	0		
4460645754	SMP	1	1407.78	487.46	1173.72	463.87	23.24	23.24	5.17	24.27	24.27	5.51	1403.60	490.49	1409.87	490.60	1173.27	467.16	1179.42	467.25	494.66	400.24	577.28	403.76	0	1	1	2	-1	-1	-14.64	62.29	730.33	39.43	68.96	743.98	-0.03	0.06	-1.00	0.07	0.07	-0.99	0		
4460662421	SMP	1	1408.44	486.74	1174.75	462.90	23.54	23.54	5.18	24.60	24.60	5.51	1404.29	490.21	1410.41	490.27	1173.85	466.54	1180.16	466.52	491.80	353.22	529.43	377.09	0	1	1	2	-1	-1	-14.81	62.47	731.56	39.14	68.89	741.43	-0.03	0.08	-1.00	0.06	0.08	-1.00	0		
4460679066	SMP	1	1408.65	486.77	1174.81	462.96	23.36	23.36	5.17	24.70	24.70	5.51	1404.49	490.28	1410.48	490.26	1173.86	466.59	1180.15	466.54	488.40	347.38	519.65	375.71	0	1	1	2	-1	-1	-14.90	62.69	734.24	39.06	68.74	739.92	-0.04	0.08	-1.00	0.05	0.08	-1.00	0		
4460695743	SMP	1	1408.80	486.58	1174.61	462.85	23.55	23.55	5.18	24.88	24.88	5.51	1404.50	490.27	1410.50	490.28	1173.79	466.58	1180.12	466.53	482.35	334.52	525.94	371.28	0	1	1	2	-1	-1	-14.93	62.83	735.88	38.95	68.53	737.66	-0.04	0.09	-0.99	0.06	0.08	-0.99	0		
4460712391	SMP	1	1408.95	486.37	1174.76	462.48	23.65	23.65	5.19	24.81	24.81	5.51	1404.45	490.19	1410.46	490.18	1173.59	466.38	1179.89	466.45	469.14	321.89	509.35	358.68	0	1	1	2	-1	-1	-14.95	62.98	737.41	38.95	68.47	736.68	-0.05	0.10	-0.99	0.04	0.10	-0.99	0		
4460729064	SMP	1	1408.64	486.30	1174.52	462.70	23.55	23.55	5.20	24.58	24.58	5.50	1404.31	489.97	1410.43	490.00	1173.44	466.35	1179.63	466.39	476.35	325.67	505.43	367.21	0	1	1	2	-1	-1	-14.92	62.98	736.89	39.03	68.54	737.32	-0.04	0.09	-1.00	0.04	0.08	-1.00	0		
4460745710	SMP	1	1408.63	486.29	1174.28	462.43	23.51	23.51	5.20	25.08	25.08	5.52	1404.14	489.90	1410.35	489.97	1173.36	466.32	1179.41	466.38	470.98	326.92	508.65	355.51	0	1	1	2	-1	-1	-14.88	62.95	736.30	39.14	68.67	738.61	-0.05	0.09	-0.99	0.05	0.09	-0.99	0		
4460762385	SMP	1	1408.41	486.62	1174.29	462.76	23.63	23.63	5.21	24.67	24.67	5.51	1404.15	490.09	1410.35	490.12	1173.39	466.44	1179.44	466.48	477.79	333.66	507.78	362.83	0	1	1	2	-1	-1	-14.88	62.91	736.38	39.14	68.65	738.69	-0.04	0.08	-1.00	0.05	0.08	-1.00	0		
4460779067	SMP	1	1408.63	486.84	1174.27	462.83	23.62	23.62	5.21	25.08	25.08	5.53	1404.28	490.25	1410.40	490.28	1173.36	466.80	1179.43	466.79	474.26	337.10	508.62	351.91	0	1	1	2	-1	-1	-14.93	62.97	737.47	39.13	68.55	738.51	-0.04	0.08	-1.00	0.05	0.10	-0.99	0		
4460795712	SMP	1	1408.91	486.73	1174.61	463.21	23.33	23.33	5.21	24.72	24.72	5.52	1404.41	490.35	1410.47	490.33	1173.43	466.97	1179.50	467.06	467.75	330.13	499.18	355.98	0	1	1	2	-1	-1	-14.98	63.06	738.71	39.12	68.51	738.63	-0.05	0.09	-0.99	0.04	0.09	-1.00	0		
4460812356	SMP	1	1408.93	486.52	1174.68	462.95	23.47	23.47	5.21	25.07	25.07	5.53	1404.53	490.30	1410.57	490.34	1173.60	466.83	1179.71	466.97	468.71	322.58	501.26	349.80	0	1	1	2	-1	-1	-15.02	63.14	739.65	39.07	68.52	738.47	-0.05	0.10	-0.99	0.04	0.10	-0.99	0		
4460829022	SMP	1	1408.95	486.84	1174.89	463.21	23.61	23.61	5.22	24.70	24.70	5.52	1404.55	490.25	1410.69	490.28	1173.69	466.67	1180.00	466.61	468.65	333.83	497.08	368.98	0	1	1	2	-1	-1	-15.03	63.11	739.14	38.88	68.34	735.82	-0.04	0.08	-1.00	0.04	0.07	-1.00	0		
4460845671	SMP	1	1409.04	486.66	1174.99	462.68	23.30	23.30	5.21	25.03	25.03	5.53	1404.54	490.14	1410.76	490.10	1173.60	466.40	1179.96	466.46	466.06	333.11	490.04	357.15	0	1	1	2	-1	-1	-15.02	63.10	738.59	38.81	68.23	734.14	-0.05	0.08	-1.00	0.03	0.09	-1.00	0		
4460862344	SMP	1	1408.95	486.34	1174.64	462.68	23.47	23.47	5.21	24.86	24.86	5.52	1404.51	489.96	1410.75	489.87	1173.49	466.34	1179.78	466.38	465.89	329.47	493.64	359.67	0	1	1	2	-1	-1	-15.01	63.12	738.33	38.84	68.24	734.02	-0.04	0.09	-1.00	0.04	0.08	-1.00	0		
4460878979	SMP	1	1408.61	486.18	1174.75	462.50	23.43	23.43	5.21	24.83	24.83	5.52	1404.51	489.64	1410.62	489.69	1173.45	466.22	1179.61	466.30	473.25	332.86	486.14	356.04	0	1	1	2	-1	-1	-15.02	63.26	739.23	38.92	68.36	735.08	-0.03	0.08	-1.00	0.03	0.09	-1.00	0		
4460895665	SMP	1	1408.91	486.22	1174.43	462.77	23.37	23.37	5.21	24.52	24.52	5.50	1404.42	489.57	1410.56	489.63	1173.36	466.24	1179.49	466.27	466.03	336.81	489.97	370.19	0	1	1	2	-1	-1	-15.00	63.26	739.07	38.95	68.38	735.33	-0.05	0.08	-1.00	0.04	0.07	-1.00	0		
4460912295	SMP	1	1408.71	486.30	1174.43	462.40	23.28	23.28	5.20	25.07	25.07	5.52	1404.34	489.85	1410.53	489.77	1173.37	466.24	1179.44	466.29	468.04	336.12	489.99	354.12	0	1	1	2	-1	-1	-14.98	63.18	738.73	39.02	68.48	736.37	-0.04	0.08	-1.00	0.04	0.09	-0.99	0		
4460928984	SMP	1	1408.81	486.62	1174.40	462.75	23.33	23.33	5.20	24.48	24.48	5.50	1404.37	490.01	1410.48	490.04	1173.40	466.37	1179.44	466.40	466.44	339.12	489.91	363.90	0	1	1	2	-1	-1	-14.98	63.15	738.99	39.08	68.57	737.61	-0.05	0.08	-1.00	0.05	0.08	-1.00	0		
4460945620	SMP	1	1408.95	486.38	1174.43	463.00	23.40	23.40	5.20	24.68	24.68	5.50	1404.46	490.13	1410.54	490.15	1173.44	466.39	1179.60	466.49	463.73	329.28	490.33	375.17	0	1	1	2	-1	-1	-15.00	63.14	739.11	39.02	68.49	736.93	-0.05	0.09	-0.99	0.05	0.07	-1.00	0		
4460962294	SMP	1	1408.80	486.42	1174.41	462.76	23.26	23.26	5.20	24.68	24.68	5.50	1404.52	490.14	1410.66	490.09	1173.51	466.38	1179.74	466.45	467.82	329.16	493.59	368.12	0	1	1	2	-1	-1	-15.01	63.10	738.64	38.96	68.43	736.27	-0.04	0.09	-1.00	0.05	0.08	-1.00	0		
4460978939	SMP	1	1409.10	486.50	1174.71	462.90	23.09	23.09	5.18	24.35	24.35	5.48	1404.56	490.13	1410.72	490.02	1173.57	466.44	1179.92	466.47	464.04	332.46	491.26	374.46	0	1	1	2	-1	-1	-15.02	63.09	738.36	38.85	68.28	734.69	-0.05	0.09	-1.00	0.05	0.08	-1.00	0		
4460995619	SMP	1	1408.89	486.51	1174.53	463.03	23.21	23.21	5.18	24.49	24.49	5.47	1404.56	490.18	1410.68	490.12	1173.58	466.49	1179.84	466.51	467.64	331.87	495.18	379.03	0	1	1	2	-1	-1	-15.01	63.08	738.48	38.87	68.29	734.91	-0.04	0.09	-1.00	0.05	0.07	-1.00	0		
4461012261	SMP	1	1408.86	486.48	1174.69	463.05	23.52	23.52	5.19	24.65	24.65	5.47	1404.54	490.23	1410.60	490.24	1173.60	466.69	1179.75	466.66	467.70	326.54	492.43	373.52	0	1	1	2	-1	-1	-15.01	63.11	739.10	38.91	68.31	735.62	-0.04	0.09	-0.99	0.04	0.08	-1.00	0		
4461028932	SMP	1	1409.00	486.74	1174.66	462.98	23.06	23.06	5.18	24.69	24.69	5.47	1404.55	490.27	1410.57	490.31	1173.57	466.76	1179.72	466.83	464.65	329.81	494.10	368.09	0	1	1	2	-1	-1	-15.03	63.17	739.94	38.91	68.27	735.49	-0.05	0.08	-1.00	0.04	0.09	-1.00	0		
4461045578	SMP	1	1408.89	486.68	1174.64	463.21	23.11	23.11	5.17	24.02	24.02	5.44	1404.53	490.20	1410.59	490.22	1173.57	466.70	1179.76	466.69	466.29	330.38	494.29	379.08	0	1	1	2	-1	-1	-15.04	63.22	740.24	38.88	68.25	735.00	-0.04	0.08	-1.00	0.05	0.07	-1.00	0		
4461062270	SMP	1	1408.96	486.34	1174.59	463.08	23.07	23.07	5.17	24.13	24.13	5.42	1404.53	490.03	1410.69	489.96	1173.53	466.43	1179.84	466.49	464.77	326.74	496.11	385.24	0	1	1	2	-1	-1	-15.04	63.23	739.78	38.80	68.18	733.63	-0.04	0.09	-0.99	0.05	0.07	-1.00	0		
4461078911	SMP	1	1408.93	486.26	1174.80	462.97	23.28	23.28	5.17	23.83	23.83	5.40	1404.56	489.72	1410.65	489.74	1173.50	466.32	1179.78	466.36	465.68	329.52	492.05	387.65	0	1	1	2	-1	-1	-15.04	63.31	740.02	38.80	68.17	733.27	-0.04	0.08	-1.00	0.04	0.07	-1.00	0		
4461095590	SMP	1	1408.97	486.25	1174.58	462.83	22.93	22.93	5.16	23.85	23.85	5.37	1404.49	489.53	1410.62	489.60	1173.46	466.26	1179.62	466.26	463.80	334.88	493.36	387.86	0	1	1	2	-1	-1	-15.03	63.35	740.06	38.87	68.28	734.21	-0.05	0.07	-1.00	0.04	0.07	-1.00	0		
4461112232	SMP	1	1408.90	486.19	1174.42	462.75	23.10	23.10	5.16	23.99	23.99	5.36	1404.43	489.54	1410.54	489.58	1173.40	466.27	1179.56	466.24	463.28	334.46	494.79	387.66	0	1	1	2	-1	-1	-15.02	63.38	740.34	38.90	68.31	734.59	-0.05	0.08	-1.00	0.05	0.07	-1.00	0		
4461128907	SMP	1	1408.74	486.22	1174.52	462.73	22.81	22.81	5.14	24.05	24.05	5.36	1404.33	489.69	1410.54	489.71	1173.41	466.28	1179.52	466.29	465.20	333.59	492.39	385.88	0	1	1	2	-1	-1	-15.00	63.31	739.92	38.95	68.38	735.40	-0.04	0.08	-1.00	0.04	0.08	-1.00	0		
4461145550	SMP	1	1408.85	485.76	1174.69	462.38	22.78	22.78	5.13	23.78	23.78	5.34	1404.54	489.43	1410.59	489.49	1173.53	466.19	1179.81	466.20	464.91	328.99	492.07	377.29	0	1	1	2	-1	-1	-15.04	63.42	740.49	38.83	68.29	734.12	-0.04	0.09	-0.99	0.04	0.09	-1.00	0		
4461162225	SMP	1	1409.15	485.04	0.00	0.00	23.15	23.15	5.13	0.00	0.00	0.00	1404.62	489.33	1410.78	489.34	0.00	0.00	0.00	0.00	463.74	273.19	0.00	0.00	0	1	0	1	-1	-1	-15.06	63.41	740.04	0.00	0.00	0.00	-0.05	0.12	-0.99	0.00	0.00	0.00	0		
4461178871	SMP	1	1409.45	485.25	1175.26	461.67	23.01	23.01	5.13	24.27	24.27	5.35	1404.74	489.41	1410.90	489.40	1174.02	466.03	1180.23	466.21	458.21	282.38	491.22	304.74	0	1	1	2	-1	-1	-15.09	63.38	739.96	38.73	68.31	734.24	-0.06	0.11	-0.99	0.04	0.12	-0.99	0		
4461195546	SMP	1	1409.52	485.27	1175.00	461.53	22.97	22.97	5.13	24.19	24.19	5.35	1404.89	489.50	1411.10	489.41	1174.06	466.08	1180.24	466.24	457.72	276.40	496.39	290.88	0	1	1	2	-1	-1	-15.12	63.31	739.29	38.73	68.31	734.25	-0.05	0.12	-0.99	0.05	0.13	-0.99	0		
4461212193	SMP	1	1409.48	485.11	1175.48	461.20	22.96	22.96	5.12	24.52	24.52	5.36	1404.88	489.32	1411.07	489.29	1173.99	465.87	1180.24	466.05	457.07	274.93	487.02	280.34	0	1	1	2	-1	-1	-15.10	63.31	738.86	38.70	68.29	733.58	-0.05	0.12	-0.99	0.03	0.13	-0.99	0		
